Date,Close/Last,Volume,Open,High,Low
04/04/2025,$19.85,175014700,$21.70,$22.20,$19.70
04/03/2025,$22.43,242972100,$21.40,$23.90,$20.86
04/02/2025,$21.98,58878850,$21.89,$22.38,$21.70
04/01/2025,$22.05,64060360,$22.56,$22.62,$21.66
03/31/2025,$22.71,65832020,$22.38,$22.745,$21.75
03/28/2025,$22.71,58365260,$23.35,$23.58,$22.56
03/27/2025,$23.62,57720580,$23.285,$23.76,$22.855
03/26/2025,$23.42,59678010,$24.25,$24.4194,$23.25
03/25/2025,$24.20,51743280,$24.175,$24.75,$24.11
03/24/2025,$24.22,69169030,$24.715,$24.99,$24.13
03/21/2025,$24.26,94110710,$23.60,$24.70,$23.49
03/20/2025,$23.96,68937580,$23.77,$24.31,$23.73
03/19/2025,$24.12,135491400,$24.90,$25.2299,$24.03
03/18/2025,$25.92,132488800,$25.55,$26.41,$25.39
03/17/2025,$25.69,160723600,$24.42,$26.145,$24.37
03/14/2025,$24.05,116901600,$23.675,$24.37,$23.52
03/13/2025,$23.70,243261000,$23.50,$24.53,$23.13
03/12/2025,$20.68,128671100,$20.79,$21.17,$20.21
03/11/2025,$19.78,80788990,$19.965,$20.06,$19.29
03/10/2025,$19.93,82760580,$20.24,$20.51,$19.65
03/07/2025,$20.64,81099650,$20.27,$21.20,$20.11
03/06/2025,$20.75,96466380,$20.26,$21.13,$20.00
03/05/2025,$20.81,127219300,$21.33,$21.36,$20.18
03/04/2025,$21.33,152182200,$22.54,$22.63,$20.76
03/03/2025,$22.74,141348700,$25.00,$25.04,$22.52
02/28/2025,$23.73,104133800,$23.02,$24.44,$22.64
02/27/2025,$23.09,97871950,$23.70,$24.40,$23.07
02/26/2025,$23.52,67449300,$23.245,$23.82,$23.21
02/25/2025,$22.99,88886470,$24.21,$24.28,$22.7701
02/24/2025,$24.27,91358070,$24.55,$24.80,$23.62
02/21/2025,$24.87,111630900,$25.96,$26.29,$24.84
02/20/2025,$26.09,144939600,$25.56,$26.12,$24.48
02/19/2025,$25.72,151881700,$25.98,$26.33,$25.46
02/18/2025,$27.39,284292200,$24.60,$27.55,$24.49
02/14/2025,$23.60,230254100,$24.36,$25.19,$22.86
02/13/2025,$24.13,248661300,$22.84,$24.83,$22.79
02/12/2025,$22.48,162631200,$21.98,$22.56,$20.93
02/11/2025,$20.97,150960700,$19.87,$21.88,$19.8618
02/10/2025,$19.77,73007270,$19.25,$20.08,$19.24
02/07/2025,$19.10,58277920,$19.35,$19.36,$19.03
02/06/2025,$19.38,45553770,$19.51,$19.70,$19.22
02/05/2025,$19.65,66250250,$19.19,$19.77,$18.91
02/04/2025,$19.29,54098200,$19.10,$19.53,$19.02
02/03/2025,$19.38,77523140,$18.97,$19.75,$18.78
01/31/2025,$19.43,117474900,$20.10,$20.33,$19.38
01/30/2025,$20.01,108167000,$19.72,$20.10,$19.43
01/29/2025,$19.75,86506820,$19.87,$20.08,$19.66
01/28/2025,$19.80,73411390,$20.34,$20.342,$19.74
01/27/2025,$20.29,83582100,$20.81,$21.06,$20.14
01/24/2025,$20.83,66300610,$21.36,$21.41,$20.75
01/23/2025,$21.57,55778160,$21.69,$21.75,$21.35
01/22/2025,$21.86,60972580,$21.725,$22.285,$21.57
01/21/2025,$21.77,96262180,$22.03,$22.41,$21.75
01/17/2025,$21.49,166483900,$21.26,$21.62,$20.79
01/16/2025,$19.67,44898060,$19.75,$19.95,$19.40
01/15/2025,$19.72,56305990,$19.40,$19.77,$19.171
01/14/2025,$19.20,47147530,$19.36,$19.52,$18.82
01/13/2025,$19.20,50668970,$18.92,$19.249,$18.73
01/10/2025,$19.15,71244580,$19.66,$19.66,$18.91
01/08/2025,$19.88,47897070,$19.825,$20.12,$19.71
01/07/2025,$20.01,61726060,$20.02,$20.34,$19.90
01/06/2025,$19.87,83270990,$20.83,$20.98,$19.78
01/03/2025,$20.56,48983940,$20.39,$20.665,$20.06
01/02/2025,$20.22,46438530,$20.23,$20.43,$20.00
12/31/2024,$20.05,49846660,$19.99,$20.40,$19.88
12/30/2024,$19.82,59608130,$20.01,$20.115,$19.73
12/27/2024,$20.30,48260830,$20.21,$20.605,$20.09
12/26/2024,$20.44,39950380,$20.23,$20.665,$20.08
12/24/2024,$20.40,29884030,$20.22,$20.40,$19.96
12/23/2024,$20.20,57988380,$19.58,$20.23,$19.52
12/20/2024,$19.52,108453700,$18.97,$19.76,$18.90
12/19/2024,$19.06,69117810,$19.53,$19.69,$19.03
12/18/2024,$19.30,86041240,$20.48,$20.58,$19.21
12/17/2024,$20.44,51767150,$20.64,$20.77,$20.2925
12/16/2024,$20.83,73832890,$20.17,$21.10,$20.00
12/13/2024,$20.34,55104080,$20.60,$20.80,$20.25
12/12/2024,$20.78,77695010,$20.02,$20.90,$19.92
12/11/2024,$20.12,75209340,$20.14,$20.25,$19.87
12/10/2024,$20.16,90004830,$20.83,$20.86,$19.96
12/09/2024,$20.81,68818220,$20.92,$21.06,$20.73
12/06/2024,$20.92,78539130,$20.95,$21.05,$20.66
12/05/2024,$20.80,167993500,$22.04,$22.19,$20.66
12/04/2024,$21.96,104649000,$22.53,$22.54,$21.81
12/03/2024,$22.47,138160500,$23.68,$23.75,$22.44
12/02/2024,$23.93,150497900,$24.84,$25.48,$23.44
11/29/2024,$24.05,36616750,$23.72,$24.28,$23.60
11/27/2024,$23.65,53992320,$23.83,$23.93,$23.06
11/26/2024,$24.05,69613560,$24.95,$24.985,$23.81
11/25/2024,$24.87,91128390,$25.04,$25.565,$24.76
11/22/2024,$24.50,36784720,$24.35,$24.68,$24.14
11/21/2024,$24.44,58928410,$24.08,$24.77,$23.83
11/20/2024,$24.01,50191510,$24.07,$24.21,$23.55
11/19/2024,$24.20,61190860,$24.50,$24.54,$24.095
11/18/2024,$24.84,59667330,$24.33,$25.02,$24.16
11/15/2024,$24.35,55104880,$24.81,$24.82,$24.23
11/14/2024,$25.03,49252120,$25.12,$25.61,$24.9346
11/13/2024,$24.92,58201970,$24.06,$25.14,$24.02
11/12/2024,$24.16,62539730,$24.66,$24.96,$23.89
11/11/2024,$25.05,80185320,$25.96,$26.2863,$24.83
11/08/2024,$26.20,76427980,$26.00,$26.43,$25.83
11/07/2024,$26.23,101489300,$25.43,$26.3799,$25.19
11/06/2024,$25.05,116760500,$24.30,$25.12,$24.05
11/05/2024,$23.32,59153330,$22.58,$23.58,$22.40
11/04/2024,$22.52,84616300,$22.96,$23.00,$22.00
11/01/2024,$23.20,173471100,$23.00,$23.58,$21.91
10/31/2024,$21.52,112485500,$22.15,$22.25,$21.47
10/30/2024,$22.30,50941230,$22.415,$22.93,$22.26
10/29/2024,$22.90,83422240,$22.87,$23.14,$22.41
10/28/2024,$22.92,41914970,$22.67,$23.27,$22.56
10/25/2024,$22.68,67502980,$22.42,$23.3399,$22.41
10/24/2024,$22.34,40554420,$22.09,$22.365,$21.97
10/23/2024,$21.98,45799050,$22.30,$22.425,$21.575
10/22/2024,$22.40,50160380,$22.73,$22.82,$22.17
10/21/2024,$22.84,39726990,$22.61,$22.88,$22.25
10/18/2024,$22.77,39971700,$22.61,$22.82,$22.50
10/17/2024,$22.44,43807580,$22.72,$22.82,$22.40
10/16/2024,$22.31,62151770,$22.38,$22.54,$21.74
10/15/2024,$22.66,68900560,$23.41,$23.72,$22.47
10/14/2024,$23.44,35403650,$23.58,$23.77,$23.2701
10/11/2024,$23.56,43585250,$23.05,$23.82,$22.98
10/10/2024,$23.22,44874580,$23.19,$23.53,$22.96
10/09/2024,$23.46,44759020,$23.25,$23.48,$23.06
10/08/2024,$23.32,58650460,$22.25,$23.42,$22.045
10/07/2024,$22.38,54928670,$22.40,$22.65,$22.0209
10/04/2024,$22.59,49966930,$22.70,$22.91,$22.30
10/03/2024,$22.26,49565930,$22.14,$22.73,$21.65
10/02/2024,$22.39,59033900,$22.67,$23.0668,$22.35
10/01/2024,$22.69,86344360,$23.46,$23.72,$22.255
09/30/2024,$23.46,66460230,$23.74,$23.95,$23.09
09/27/2024,$23.91,85883280,$24.16,$24.66,$23.7034
09/26/2024,$23.92,95416940,$24.28,$24.42,$23.25
09/25/2024,$23.54,117013400,$22.80,$24.055,$22.73
09/24/2024,$22.81,113082500,$22.53,$23.105,$22.285
09/23/2024,$22.56,184439100,$22.43,$22.82,$22.03
09/20/2024,$21.84,260377900,$20.89,$23.14,$20.35
09/19/2024,$21.14,99829170,$21.28,$21.69,$21.03
09/18/2024,$20.77,118727900,$21.36,$21.74,$20.715
09/17/2024,$21.47,196249800,$21.71,$22.58,$21.24
09/16/2024,$20.91,149337000,$20.03,$21.0699,$19.76
09/13/2024,$19.66,44236270,$19.49,$19.80,$19.49
09/12/2024,$19.36,51602920,$19.43,$19.54,$19.04
09/11/2024,$19.64,71403140,$19.01,$19.69,$18.52
09/10/2024,$18.98,55621270,$19.03,$19.11,$18.51
09/09/2024,$19.07,64244130,$19.00,$19.54,$18.95
09/06/2024,$18.89,92686460,$19.44,$19.49,$18.64
09/05/2024,$19.40,65388790,$19.28,$19.90,$19.24
09/04/2024,$19.43,85871890,$19.76,$20.045,$19.28
09/03/2024,$20.10,115305500,$21.54,$21.69,$19.99
08/30/2024,$22.04,177785400,$21.25,$22.12,$21.00
08/29/2024,$20.13,64529660,$19.76,$20.60,$19.75
08/28/2024,$19.61,50144890,$19.98,$20.105,$19.51
08/27/2024,$20.07,43862020,$20.13,$20.26,$19.84
08/26/2024,$20.13,58534790,$20.53,$20.56,$19.95
08/23/2024,$20.54,73398430,$20.32,$20.93,$20.26
08/22/2024,$20.10,81444670,$21.39,$21.40,$20.04
08/21/2024,$21.41,57028870,$21.072,$21.44,$21.07
08/20/2024,$20.99,84161270,$21.21,$21.23,$20.82
08/19/2024,$21.52,65956300,$20.885,$21.86,$20.835
08/16/2024,$20.87,48582660,$20.53,$20.895,$20.4101
08/15/2024,$20.69,84814880,$20.32,$21.06,$20.23
08/14/2024,$19.92,56758180,$20.485,$20.50,$19.785
08/13/2024,$20.47,77511350,$19.48,$20.48,$19.47
08/12/2024,$19.36,54677580,$19.87,$19.97,$19.00
08/09/2024,$19.71,76394550,$20.08,$20.15,$19.50
08/08/2024,$20.49,96836820,$19.10,$20.55,$18.84
08/07/2024,$18.99,97972290,$19.92,$20.25,$18.95
08/06/2024,$19.83,106670400,$20.32,$20.63,$19.75
08/05/2024,$20.11,147385700,$20.20,$20.385,$19.2934
08/02/2024,$21.48,300895900,$21.94,$21.98,$20.42
08/01/2024,$29.05,107672500,$30.43,$30.71,$28.89
07/31/2024,$30.74,56110610,$30.54,$30.87,$30.28
07/30/2024,$30.13,48256630,$30.845,$30.91,$30.005
07/29/2024,$30.83,32342200,$31.42,$31.47,$30.79
07/26/2024,$31.35,38352540,$31.43,$31.56,$31.02
07/25/2024,$31.10,49774030,$31.372,$31.985,$30.95
07/24/2024,$31.70,62216670,$32.535,$32.80,$31.66
07/23/2024,$32.95,29466370,$32.96,$33.23,$32.83
07/22/2024,$33.37,48503750,$33.28,$33.41,$32.76
07/19/2024,$32.98,69628650,$34.565,$34.58,$32.85
07/18/2024,$34.87,84188610,$34.96,$36.30,$34.53
07/17/2024,$34.46,112304200,$36.08,$37.16,$34.40
07/16/2024,$34.34,28409910,$34.36,$34.45,$33.835
07/15/2024,$34.46,39847920,$34.70,$35.225,$34.31
07/12/2024,$34.49,62792650,$33.77,$35.475,$33.77
07/11/2024,$33.50,55213670,$35.031,$35.15,$33.31
07/10/2024,$34.87,52256200,$34.44,$34.97,$34.13
07/09/2024,$34.59,97788840,$35.015,$35.22,$33.72
07/08/2024,$33.99,82315940,$33.03,$34.09,$32.82
07/05/2024,$32.02,45309450,$31.40,$32.34,$31.3114
07/03/2024,$31.23,24065670,$31.12,$31.34,$30.91
07/02/2024,$31.07,35999280,$30.855,$31.31,$30.585
07/01/2024,$30.84,32401760,$30.91,$31.02,$30.61
06/28/2024,$30.97,41467680,$30.75,$31.31,$30.72
06/27/2024,$30.59,30184280,$30.42,$30.6582,$30.285
06/26/2024,$30.54,30742980,$30.64,$30.68,$30.2731
06/25/2024,$30.74,29498580,$30.70,$30.83,$30.2901
